Vendor Name,IMPA,Vendor Product Name,Vendor Product Code,CATEGORY,Vendor Price
RUBAFLEX B.V.,330868,Hose coupling ansi pin 63mm hose x 63mm male/female,usa6363,,31.66
RUBAFLEX B.V.,330869,Hose coupling ansi pin 38mm hose x 38mm male/female,usa3838,,12.55
RUBAFLEX B.V.,330870,Hose coupling ansi pin 63mm hose x 63mm male/female,usa6363,,31.66
RUBAFLEX B.V.,330871,Hose coupling ansi pin 38mm hose x 38mm male/female,usa3838,,12.55
RUBAFLEX B.V.,330872,Hose coupling ansi pin 63mm hose x 63mm male/female,usa6363,,31.66
RUBAFLEX B.V.,330873,French coupling brass DSP hose 45mm lug 55mm,frk4555m,,25
RUBAFLEX B.V.,330874,French coupling brass DSP hose 70mm lug 84mm,frk7084m,,45
RUBAFLEX B.V.,330875,Storz coupling brass 50mm hose - lug 66mm,skp050066m,,26.48
RUBAFLEX B.V.,330876,Storz coupling brass 75mm hose - lug 89mm,skp075089m,,54.33
RUBAFLEX B.V.,330877,"Hose coupling bsp(pf) Bronze 25a 1""",#60000924,,7.95
RUBAFLEX B.V.,330878,"Hose coupling bsp(pf) Bronze 40a 1-1/2""",#60000925,,13.19
RUBAFLEX B.V.,330879,"Hose coupling bsp(pf) Bronze 50a 2""",#60000926,,22.68
RUBAFLEX B.V.,330880,"Hose coupling bsp(pf) Bronze 65a 2-1/2""",#60000927,,43.78
RUBAFLEX B.V.,330881,"Y-splitter 2-1/2"" brass, NST threads 1x female swivel in, 2x male out",ystuk6363,,110
RUBAFLEX B.V.,330882,Machino coupling brass 38mm hose - male/female 38mm,mas3838,,14.15
RUBAFLEX B.V.,330883,Machino coupling brass 63mm hose - male/female 63mm,mas6363,,54.55
RUBAFLEX B.V.,330884,Nakajima coupling brass 38mm hose - lug 72mm,nak3872,,9.99
RUBAFLEX B.V.,330885,Nakajima coupling brass 50mm hose - lug 91mm,nak5091,,14
RUBAFLEX B.V.,330887,Machino coupling brass 50mm hose male/female 63mm,mas5063,,45.45
RUBAFLEX B.V.,330888,Nakajima coupling brass 38mm hose - lug 61mm,nak3861,,7.25
RUBAFLEX B.V.,330889,Nakajima coupling brass 50mm hose - lug 72mm,nak5072,,9
RUBAFLEX B.V.,330890,Nakajima coupling brass 63mm hose - lug 91mm,nak6391,,14
RUBAFLEX B.V.,330891,Nakajima coupling brass 38mm hose - lug 91mm,nak3891,,16.75
RUBAFLEX B.V.,330892,Machino coupling brass 38mm hose - female 63mm,mas3863,,33.45
RUBAFLEX B.V.,330893,Hose coupling ansi pin 38mm hose x 63mm female,usa3863r,,26.55
RUBAFLEX B.V.,330894,Nozzle brass MT 50mm BSP Applicator L=1350 Nakajima 50A,#60000977,,142.43
RUBAFLEX B.V.,330895,Nozzle brass MT 50mm BSP Applicator L=1350 Nakajima 50A,#60000978,,142.43
RUBAFLEX B.V.,330896,Nozzle brass MT 50mm BSP Applicator L=1350 Nakajima 50A,#60000979,,142.43
RUBAFLEX B.V.,330897,Machino rubber ring For 38mm coupling,mas38ring,,0.3
RUBAFLEX B.V.,330898,Machino rubber ring For 50mm coupling,mas50ring,,0.3
RUBAFLEX B.V.,330899,Machino rubber ring For 63mm coupling,mas63ring,,0.3
RUBAFLEX B.V.,330900,Hose coupling ansi pin 50mm hose x 63mm male/female,usa5063,,38.95
RUBAFLEX B.V.,330931,John Morris coupling aluminium 38mm hose -male/female 63mm,mor3863lm,,6.32
RUBAFLEX B.V.,330932,John Morris coupling aluminium 50mm hose -male/female 63mm,mor5063lm,,7.39
RUBAFLEX B.V.,330933,John Morris coupling aluminium 63mm hose -male/female 63mm,mor6363lm,,13
RUBAFLEX B.V.,330950,Fire blanket 1.2x1.2mtr With case (pvc),bld12001200,,4.95
RUBAFLEX B.V.,330968,Emergency door key case with break glass,edkc,,7.25
RUBAFLEX B.V.,331432,"Geaquello® E 950, sealing comp. incl. Mixcup, 3kg A60",scp950-3,,70
RUBAFLEX B.V.,331433,"Geaquello® E 950, sealing comp. incl. Mixcup, 3kg A60",scp950-3,,70
